State,StateNames,count,Music Major
AK,Alaska,3205,4
AL,Alabama,19557,21
AR,Arkansas,13073,16
AZ,Arizona,14457,15
CA,California,578283,323
CO,Colorado,41747,26
CT,Connecticut,51538,38
DC,"Washington,D.C",10560,5
DE,Delaware,7362,9
FL,Florida,72924,86
GA,Georgia,59925,57
HI,Hawaii,8203,10
IA,Iowa,19132,17
IL,Illinois,207115,135
IN,Indiana,27115,28
KS,Kansas,24945,22
KY,Kentucky,10921,11
LA,Louisiana,14330,13
MD,Maryland,46495,43
ME,Maine,10675,8
MI,Michigan,61603,61
MN,Minnesota,30647,22
MO,Missouri,36961,30
MS,Mississippi,9720,13
MT,Montana,7813,7
NC,North Carolina,50402,45
ND,North Dakota,2405,3
NE,Nebraska,15434,15
NH,New Hampshire,13104,12
NJ,New Jersey,54218,42
NM,New Mexico,9297,4
NV,Nevada,25035,25
NY,New York,404579,155
OH,Ohio,44261,47
OK,Oklahoma,23478,18
OR,Oregon,23640,20
PA,Pennsylvania,86302,84
PR,Puerto Rico,4337,6
RI,Rhode Island,14636,11
SC,South Carolina,44355,41
SD,South Dakota,2560,3
TN,Tennessee,43513,32
TX,Texas,36601,47
UT,Utah,19040,17
VA,Virginia,79015,71
VT,Vermont,14259,9
WA,Washington,43146,22
WI,Wisconsin,49517,46
WV,West Virginia,5626,8
