State,count
Alabama,26.6
Alaska,15.2
Arizona,24.7
Arkansas,27.2
California,21.2
Colorado,14.7
Connecticut,14.5
Delaware,19.4
District of Columbia,25.6
Florida,23.1
Georgia,24.5
Hawaii,14.2
Idaho,17.8
Illinois,19.1
Indiana,20.9
Iowa,14.8
Kansas,17.2
Kentucky,25.9
Louisiana,28.4
Maine,17.4
Maryland,13.2
Massachusetts,14.8
Michigan,22.4
Minnesota,13.1
Mississippi,31.3
Missouri,20.2
Montana,19.4
Nebraska,16.8
Nevada,20.9
New Hampshire,10.7
New Jersey,15.6
New Mexico,28.6
New York,22
North Carolina,23.5
North Dakota,12.1
Ohio,21.3
Oklahoma,22.2
Oregon,20.3
Pennsylvania,19.4
Rhode Island,19.4
South Carolina,24
South Dakota,18.1
Tennessee,24.2
Texas,23
Utah,12.9
Vermont,13.3
Virginia,14.8
Washington,15.5
West Virginia,25.2
Wisconsin,16.4
Wyoming,13.2
